﻿name,lyric
Mine Mine,沒有你的生活 我開始寫小說好多畫面 好多靈感 我要把稿費都給你巷口不小心經過 你的車子依舊停在紅線 幫你繳罰單你叫我別管 我才想到我們已經分開想起 那一個夏天 那不是那不是那是冬天想起 你生氣的臉 每天就像冬天 唉唉唉你說那是愛愛愛誰該堅強起來 月亮還是太陽 是誰遮了誰 是誰都會依賴你說已分開 為什麼還要幫你撐傘Cuz baby you are mine mine(Mine....)Mine mine(Mine....)太快 就承認我真的很想你會不會沒有男子氣概 You sayBye bye(Bye....) Oh bye bye(Bye....)拆開 我的心隨你看 滿滿的都是愛我的眼皮跳一下 代表你在想我我的耳朵癢一下 代表你在講我壞話我沒這麼不好吧 不用跟朋友說吧 在   如果以後和好了 看到你朋友不是很尷尬想起 那一個夏天 那不是那不是那是冬天想起 你生氣的臉 每天就像冬天 唉唉唉你說那是愛愛愛騙誰 我說的氣話 都收回我寫的小說根本是空白黑夜你說既然已分開 為何還要幫你撐傘嘜嘜 你嘜擱嘜擱偷偷離開嘜嘜 你嘜擱嘜擱偷偷離開嘜驚 我不會放你一人治那 你想祙有人靠有人會疼嘜吶 你雨傘雨傘趕緊打開嘜吶 你雨傘雨傘趕緊打開嘜鬧 落大雨你淋雨我艱苦 落大雨我沒你會艱苦Cuz baby you are mine mine(Mine....)Mine mine(Mine....)太快 就承認我真的很想你會不會沒有男子氣概 You say嘜吶 你雨傘雨傘趕緊打開嘜吶 你雨傘雨傘趕緊打開嘜鬧 落大雨你淋雨我艱苦 落大雨我沒你會艱苦會艱苦...[ti:驚嘆號][ar:Mine Mine]
Mojito,麻煩給我的愛人來一杯Mojito我喜歡閱讀她微醺時的眼眸而我的咖啡 糖不用太多這世界已經因為她甜得過頭沒有跟她笑容一樣濃郁的雪茄就別浪費時間介紹收起來吧拱廊的壁畫 舊城的塗鴉所有色彩都因為她說不出話這愛不落幕 忘了心事的國度妳所在之處 孤單都被征服鐵鑄的招牌 錯落著就像一封封城市 獻給天空的情書當街燈亮起 Havana漫步這是世上最美麗的那雙人舞繽紛的老爺車跟著棕櫚搖曳載著海風私奔漫無目的古董書攤漫著時光香氣我想上輩子是不是就遇過妳喧囂的海報躺在 慵懶的閣樓陽台 在   而妳是文學家筆下的那一片海麻煩給我的愛人來一杯Mojito我喜歡閱讀她微醺時的眼眸而我的咖啡 糖不用太多這世界已經因為她甜得過頭這愛不落幕 忘了心事的國度妳所在之處 孤單都被征服鐵鑄的招牌 錯落著就像一封封城市 獻給天空的情書當街燈亮起 Havana漫步這是世上最美麗的那雙人舞鐵鑄的招牌 錯落著就像一封封城市 獻給天空的情書當街燈亮起 Havana漫步這是世上最美麗的那雙人舞
Now You See Me,我的幻術是超能力 我天生神力你的魔術要靠道具 還真不給力你話術耍耍嘴皮 聲東擊西 分散注意我根本不理 省點力氣 你還真有耐性啊 玩一玩紙牌 消失了錢幣手裡變出白鴿都是小朋友的把戲猜你應該使用了障眼的把戲不然你看一看你旁邊的觀眾他們都跑到哪去出神入化 霧裡看花 跟我拚命你會輸掉所有籌碼出神入化 浪跡天涯 認真起來我連我自己都害怕Now u see me cuz I let it beWanna find the key you gotta follow my beatNow u see me cuz I let it be 我的幻術存在但看不見證據Now u see me cuz I let it beWanna find the key you gotta follow my beatNow you see me cuz I let it be 我的幻術讓你沈迷看穿你One two three four, one two three four倒數計時 睜開眼 置身在不同的城市One more two more, one more two more 你看不見我 看不見我 看不見我 看不見我 在   看不見我 (難度就像烏龜翻觔斗)看不見我 (你就是扶不起的阿斗)看不見我 (不然你早已跟我握手)看不見我 (萬一看見的人是只小狗)出神入化 霧裡看花 跟我拚命你會輸掉所有籌碼出神入化 浪跡天涯 認真起來我連我自己都害怕Now u see me cuz I let it beWanna find the key u gotta follow my beatNow u see me cuz I let it be 我的幻術存在但看不見證據Now u see me cuz I let it beWanna find the key u gotta follow my beatNow u see me cuz I let it be 我的幻術讓你沈迷看穿你Now u see me cuz I let it beWanna find the key u gotta follow my beatNow u see me cuz I let it be 我的幻術存在但看不見證據Now u see me cuz I let it beWanna find the key u gotta follow my beatNow u see me cuz I let it be 我的幻術讓你沈迷看穿你
Try(& 派偉俊),You always have to do somethingJust to show the world that you existSo you tryYou hope they'll seeIf on this brand new day you'll lookOn the bright side of the same old streetYou will seeWhat you deserve周：Let's Go我說幾華里 我送別了過去他們說人生的結局 非常的戲劇塞外羌笛 孤城馬蹄在武俠的世界裡 誰與誰來為敵合：La la la la la la la la la黃沙裡 用竹筆 寫下的字 叫勇氣周：You just have to tryTo be who you areAnd you ought to flyStep into the light派：And soon you will find (Be yourself)Somewhere deep insideThere's a universe right there waiting to be unlockedThe key lies in looking into yourself周：Oh Try try try tryJust do what is rightYou'll fly so highLet go of the brakesBe who you areBe yourself 'cause your power is on合：When you believe in what you've gotYou know you're perfect just be who you are派：So they don't see what you're made ofBut I like you and I know they're wrongNow it's timeTo show them what you gotLet the blue skies cheer you onEmbrace the wind we'll ride alongYou're perfect when you're who you are 在   周：這世界 有些事 有些人 憑感覺別管他旌旗密佈遍野 狼煙霜雪那故事在穿越 而我也在翻頁一行行做好準備 敏銳而直接合：La la la la la la la la la愛不滅 真實的一切 廢話全收回派：You just have to tryTo be who you are周：And you ought to flyStep into the light派：And soon you will find (Be yourself)Somewhere deep insideThere's a universe right there waiting to be unlockedThe key lies in looking into yourself周：Oh Try try try tryJust do what is rightYou'll fly so highLet go of the brakes合：Be who you areBe yourself 'cause your power is onWhen you believe in what you've gotYou know you're perfect just be who you are派：You just have to tryTo be who you are周：And you ought to flyStep into the light派：And soon you will find (Be yourself)Somewhere deep insideThere's a universe right there waiting to be unlockedThe key lies in looking into yourself周：Oh Try try try tryJust do what is rightYou'll fly so highLet go of the brakes合：Be who you areBe yourself 'cause your power is onWhen you believe in what you've gotYou know you're perfect just be who you are
一口氣全唸對,這這誰 歡迎你來派對 我的世界在寬敞的大街 飆音樂再唸一段碎嘴 過來挑戰就對鳴槍起跑預備就咪讓咪壓咪力咪 喘咪一咪口咪氣咪給咪它咪機咪會咪 跟咪著咪音咪樂咪將咪愛咪寫咪成咪 一咪段咪過咪去咪只咪留咪下咪對咪的咪記咪憶 嘿對對對對了 一口氣全唸對 對對對對了 沒事就動動嘴 動動動動嘴動動嘴 動動嘴 拍子要唸準確 才會抓到感覺你的香水 我的心跳 搞得我很難思考窄裙線條 對我撒嬌 撫媚嘴角猜不到你抹香水 我摸心跳 性感就快要破表扭水蛇腰 不吵不鬧 愛上你只需一秒 在   這這誰 歡迎你來派對 我的世界這裡不用辛苦 戴尾戒沒有嫉妒防備 只有開心純粹以及屌的音樂就咪讓咪壓咪力咪 喘咪一咪口咪氣咪給咪它咪機咪會咪 跟咪著咪音咪樂咪將咪愛咪寫咪成咪 一咪段咪過咪去咪只咪留咪下咪對咪的咪記咪憶 嘿對對對對了 一口氣全唸對 對對對對了 沒事就動動嘴 動動動動嘴動動嘴 動動嘴 拍子要唸準確 才會抓到感覺你的香水 我的心跳 搞得我很難思考窄裙線條 對我撒嬌 撫媚嘴角猜不到你抹香水 我摸心跳 性感就快要破表扭水蛇腰 不吵不鬧 愛上你只需一秒[ti:一口氣全唸對][ar:周杰倫][al: 哎呦，不錯哦][by:]
一路向北,後視鏡裏的世界　越來越遠的道別　你轉身向背(北) 側臉還是很美　我用眼光去追　竟聽見著你的淚○在車窗外面徘徊　是我錯失的機會　你站的方位　跟我中間隔著淚　街景一直在後退　你的崩潰在窗外零碎◎我一路向北　離開有你的季節　你說你好累　已無法再愛上誰 在   　風在山路吹　過往的畫面全都是我不對　細數慚愧　我傷你幾回Repeat ★　○　◎我一路向北　離開有你的季節方向盤周圍　回轉著我的後悔我加速超越　卻甩不掉緊緊跟隨的傷悲細數慚愧　我傷你幾回停止狼狽　就讓錯純粹[ti:一路向北][ar:周杰倫]
一點點,幾次爭辯 幾次的失眠而我卻視而不見 從不先說抱歉工作優先 跟朋友見面永遠多過 給你的時間那虧欠 一直放在心裡面沒能說出口 你已走遠抱緊你 卻抓不住你的愛 剩一點點那一天 你幾乎帶走 我所有的從前你說我 根本沒有因為愛你而改變我始終聽不進 你的勸想吃甜點 想去電影院而我卻都嫌太遠 你在委屈埋怨 在   我連生日 都忘記敷衍卻只會要你 乖一點點那虧欠 一直放在心裡面沒能說出口 你已走遠抱緊你 卻抓不住你的愛 剩一點點那一天 你幾乎帶走 我所有的從前故事裡 不再出現與你相關的畫面一個人的幸福 怎麼編 面對面 淚滑落在彼此的臉 那瞬間不再讓你離開 我身邊
七里香,窗外的麻雀  在電線桿上多嘴妳說這一句  很有夏天的感覺手中的鉛筆  在紙上來來回回我用幾行字形容妳是我的誰秋刀魚  的滋味  貓跟妳都想了解初戀的香味就這樣被我們尋回那溫暖  的陽光  像剛摘的鮮豔草莓你說妳捨不得吃掉這一種感覺雨下整夜  我的愛溢出就像雨水院子落葉  跟我的思念厚厚一疊幾句是非  也無法將我的熱情冷卻妳出現在我詩的每一頁 在   雨下整夜  我的愛溢出就像雨水窗台蝴蝶  像詩裡紛飛的美麗章節我接著寫  把永遠愛妳寫進詩的結尾妳是我唯一想要的了解那飽滿  的稻穗  幸福了這個季節而妳的臉頰像田裡熟透的蕃茄妳突然  對我說  七里香的名字很美我此刻卻只想親吻妳倔強的嘴雨下整夜  我的愛溢出就像雨水院子落葉  跟我的思念厚厚一疊幾句是非  也無法將我的熱情冷卻妳出現在我詩的每一頁整夜  我的愛溢出就像雨水窗台蝴蝶  像詩裡紛飛的美麗章節我接著寫  把永遠愛妳寫進詩的結尾妳是我唯一想要的了解
三年二班,眼睛你要擦亮　記住我的模樣　表情不用太緊張　我是　三年二班我專心打球的側臉還滿好看黑板　是吸收知識的地方只是教室的陽光　那顏色我不太喜歡沒有操場的自然　為何比較漂亮的都是在隔壁班還有考卷的答案　我剛好都不會算沒關係　再繼續努力　沒關係為什麼上課時舉手很難　為什麼拿線上寶物簡單為什麼女生不喜歡太胖　為什麼都別人手機在響正手發長球的打法只是初級乒乓反手短打再狠狠殺球是高級乒乓迴轉技巧乒乓　前場速攻乒乓　對牆壁　在練習　乒乓　乒乓＃這第一名到底要多強(不用問　一定有人向你挑戰)　到底還要過多少關　(不用怕　告訴他們誰是男子漢)　可不可以不要這個獎(不想問　我只想要流一點汗)　我當我自己的裁判　(不想說　選擇對手跟要打的仗)Repeat ＃ 在   ＊我不想　就這樣一直走　每天都遇上　充滿敵意那種眼光　等機會　就是要打倒對方　這種結果我不要　這虛榮的驕傲　這目的很好笑　我其實都知道　你只是想炫耀　我永遠做不到　你永遠贏不了　我永遠做不到　你永遠贏不了　永遠都贏不了走下鄉　尋找哪有花香(為什麼　這麼簡單你做不到)坐車廂　朝著南下方向(為什麼　這種速度你追不到)鳥飛翔　穿過這條小巷(為什麼　這麼簡單你做不到)仔細想　這種生活安詳(為什麼　這種速度你追不到)不好笑　不好笑　不好笑　不好笑　不好笑　不好笑Repeat ＃,＃我不想　就這樣一直走　每天都遇上　充滿敵意那種眼光等機會　就是要打倒對方　這種結果我不要　這虛榮的驕傲我不想　就這樣一直走　每天都遇上　充滿敵意那種眼光等機會　就是要打倒對方　這種結果我不要　這虛榮的驕傲走下鄉　尋找哪有花香坐車廂　朝著南下方向鳥飛翔　穿過這條小巷仔細想　這種生活安詳
上海一九四三,泛黃的春聯還殘留在牆上依稀可見幾個字歲歲平安在我沒回去過的老家米缸爺爺用楷書寫一個滿黃金葛爬滿了雕花的門窗夕陽斜斜映在斑駁的磚牆鋪著櫸木板的屋內還瀰漫姥姥當年釀的豆瓣醬我對著黑白照片開始想像 在   爸和媽當年的模樣說著一口吳儂軟語的姑娘緩緩走過外灘消失的　舊時光　一九四三在回憶　的路上　時間變好慢老街坊　小弄堂是屬於那年代白牆黑瓦的淡淡的憂傷消失的　舊時光　一九四三回頭看　的片段　有一些風霜老唱盤　舊皮箱裝滿了明信片的鐵盒裡藏著一片玫瑰花瓣
不愛我就拉倒,寒流來了 剛好剛好可以 把你手放外套把安全帽戴好不讓你在 愛情路上跌倒加速狂飆 你說不要愛的險你不想冒不想被套牢他的懷抱 真比我好？你幸福就好不愛我就拉倒離開之前不要愛的抱抱反正 我又不是沒有人要哥練的胸肌如果你還想靠好膽你就麥造寒流來了 剛好可以 把你手放外套把安全帽戴好 不要在愛情路上跌倒加速狂飆 你 你說不要愛的險你不想冒 不想被我給套牢反正我又不是沒有人要哥練的胸肌如果你還想靠算了 你幸福你幸福就好寒流來了 剛好剛好可以 把你手放外套 在   把安全帽戴好不讓你在 愛情路上跌倒加速狂飆 你說不要愛的險你不想冒不想被套牢他的懷抱 真比我好？你幸福就好不愛我就拉倒離開之前不要愛的抱抱反正 我又不是沒有人要哥練的胸肌如果你還想靠好膽你就麥造你幸福就好不愛我就拉倒離開之前不要愛的抱抱反正 我又不是沒有人要哥練的胸肌如果你還想靠好膽你就麥造
不知不覺愛上你,我不知不覺愛上你 就像呼吸明明現在的你正躺我懷裡還是懷疑總覺得不夠力要怎樣才抱得更緊SHOO BE DOO SHOO BE DOO可以倒流讓我陪你一起早聽說孩提時的你愛讓我哄你好羨慕和你同班同桌男生多麼幸運讓我可以代替你最愛的那個木偶玩具WOOH我不知不覺愛上你就像呼吸明明現在的你正躺(在)我(的)懷裡還是懷疑總覺得不夠力要抱你更緊OH 你總是不小心漏在我夢裡ALL NIGHT AND DAY我小心翼翼帶你走出夢裡I MISS YOU NIGHT AND DAY我好想把你含在嘴裡藏口袋裡要每天對你說 I LOVE YOU BABY哦 天翻地覆歇斯底里愛到窒息我要親手為你戴上愛的那小玩意WOOH我不知不覺愛上你就像呼吸明明現在的你正躺(在)我(的)懷裡還是懷疑總覺得不夠力要抱你更緊 在   OH 你總是不小心漏在我夢裡ALL NIGHT AND DAY我小心翼翼帶你走出夢裡I MISS YOU NIGHT AND DAYOH 你總是不小心漏在我夢裡ALL NIGHT AND DAY我小心翼翼帶你走出夢裡I MISS YOU NIGHT AND DAY我不知不覺愛上你就像呼吸明明現在的你正躺(在)我(的)懷裡還是懷疑總覺得不夠力要抱你更緊OH 你總是不小心漏在我夢裡ALL NIGHT AND DAY我小心翼翼帶你走出夢裡I MISS YOU NIGHT AND DAYOH 你總是不小心漏在我夢裡ALL NIGHT AND DAY我小心翼翼帶你走出夢裡I MISS YOU NIGHT AND DAYshoo be doo shoo be doo doo oohspring time lover summer lover winter lover night and dayshoo be doo shoo be doo doo ooh
不能說的秘密,冷咖啡離開了杯墊我忍住的情緒在很後面拼命想挽回的從前在我臉上依舊清晰可見最美的不是下雨天是曾與你們的演唱會回憶的畫面 在盪著鞦韆夢開始不甜你說把愛漸漸放下會走更遠又何必去改變 已錯過的時間你用你的指尖 阻止我說再見想像你在身邊 在完全失去之前你說把愛漸漸放下會走更遠或許命運的籤 只讓我們遇見只讓我們相戀這一季的秋天飄落後才發現 這幸福的碎片要我怎麼撿冷咖啡離開了杯墊我忍住的情緒在很後面拼命想挽回的從前在我臉上依舊清晰可見 在   最美的不是下雨天是曾與你躲過雨的屋簷回憶的畫面 在盪著鞦韆夢開始不甜你說把愛漸漸放下會走更遠又何必去改變 已錯過的時間你用你的指尖 阻止我說再見想像你在身邊 在完全失去之前你說把愛漸漸放下會走更遠又何必去改變 已錯過的時間只讓我們相戀這一季的秋天飄落後才發現 這幸福的碎片要我怎麼撿 喔! 要我怎麼撿 喔~-----------------------------------------------2007世界巡迴演唱會LIVE 版本 ( 歌詞 部分跟CD版本不同)最美的不是下雨天是曾與妳躲過雨的屋簷回憶的畫面 在盪著鞦韆夢開始不甜  感謝 我沒有名字  修正歌詞
不該(& 張惠妹),周：假裝我們還在一塊 我真的演不出來　　還是不習慣你不在 這身份轉變太快張：畫面裡不需要旁白 卻誰都看得出來　　是我情緒湧了上來 想哭卻一片空白周：雪地裡相愛 他們說零下 已結晶的誓言不會壞合：但愛的狀態 卻不會永遠 都冰封而透明的存在　　輕輕飄 落下來 許下的夢 融化得太快　　或許我們都不該醒來張：你還是住在我的回憶裡 不出來周：讓我們微笑離開 讓故事留下來合：放手後 愛依然在　　雪融了 就應該花開　　緣若盡了 就不該再重來張：你依舊住在我的回憶裡 不出來周：我離開將你的手交給 下個最愛(合：最愛)合：糾纏與固執等待 反而是另一種傷害　　彼此緊握的手鬆開 去擁抱更多未來 在   周：錯過的時間怎麼買 誰都付不出來張：或許我們學會釋懷 讓過去安靜下來合：雪地裡相愛 他們說零下 已結晶的誓言不會壞　　但愛的狀態 卻不會永遠 都冰封而透明的存在　　輕輕飄 落下來 許下的夢 融化得太快　　或許我們都不該醒來張：你還是住在我的回憶裡 不出來周：讓我們微笑離開 讓故事留下來合：放手後 愛依然在　　雪融了 就應該花開　　緣若盡了 就不該再重來張：你依舊住在我的回憶裡 不出來周：我離開將你的手交給 下個最愛(合：最愛)合：糾纏與固執等待 反而是另一種傷害　　彼此緊握的手鬆開 去擁抱更多未來
世界未末日,這街道在下陷　我們就快失去了家園你我卻都沒有埋怨　將眼淚停格瞬間街景摧毀　我內心卻不輕易撤退滿天風雪　我們會微笑去面對我牽著你的手　一路穿梭在城市路口就算故事到了盡頭　我們也絕不退縮快轉風景　被一再提醒失去森林落葉聲音　停不住我們的關心就算是世界要崩潰親愛的我也絕不會落淚不放棄愛過的那種感覺珍惜著有你記憶的一切就算是世界要傾斜親愛的我也絕不說離別儘管末日威脅再強烈有愛就不累 在   我牽著你的手　一路穿梭在城市路口就算故事到了盡頭　我們也絕不退縮快轉風景　被一再提醒失去森林落葉聲音　停不住我們的關心就算是世界要崩潰親愛的我也絕不會落淚不放棄愛過的那種感覺珍惜著有你記憶的一切就算是世界要傾斜親愛的我也絕不說離別儘管末日威脅再強烈有愛就不累[ti:驚嘆號][ar:周杰倫][al:][by:＊～夜雪]
世界末日,想笑　來偽裝掉下的眼淚　點點頭　承認自己會怕黑我只求　能借一點的時間來陪　你卻連同情都不給想哭　來試探自己麻痺了沒　全世界　好像只有我疲憊無所謂　反正難過就敷衍　走一回　但願絕望和無奈遠走高飛天灰灰　會不會　讓我忘了你是誰夜越黑　夢違背　難追難回味 在   我的世界將被摧毀　也許事與願違累不累　睡不睡　單影無人相依偎夜越黑　夢違背　有誰肯安慰我的世界將被摧毀　也許頹廢也是另一種美
亂舞春秋,那混亂的年代　朝廷太腐敗　人禍惹天災東漢王朝在一夕之間崩壞　興衰九州地圖被人們切割成三塊　分開讀三國歷史的興衰　想去瞧個明白看看看就馬上回來　鏗鏗刀劍棍棒　我隨口講原來真有時光機這麼誇張穿梭時空過癮又囂張　萬一有去無回怎麼辦老實說有點緊張　啊啊江山　我站在雲端　慢慢　往中原方向前方　散落著村莊　長安　在兵荒馬亂望著天眼看北斗七星墜入地平線瞬間　英雄豪傑猶如鬼魅般地出現我呸　誰也不服誰　我是龜你是鱉啦啦啦啦啦　啦啦啦妖獸擾亂人間秩序　血腥如浪潮般來襲我小命差點沒續集　還好有時光機我謝謝你人魔開始重出地獄　叛軍如野火般攻擊五官差點離開身體　還好有時光機我謝謝你曹魏梟雄在　蜀漢多人才　東吳將士怪七星連環敗　諸葛亮的天命不來　這些書都有記載 在   不是我在亂掰　等到東方魚肚白　我再來跟你說嗨！嘴裏有刀　說破歌謠　千年恩怨　一筆勾銷生命潦草　我在彎腰　歷史輪迴　轉身忘掉黃巾賊你不要吵鬧　咱姥姥和水桿麵條放下刀　若想吃飽　去找皇帝老爺討黃巾賊你不要打我　咱姥姥燒柴煮水餃放下刀　若想吃飽　去找皇帝老爺討妖獸擾亂人間秩序　血腥如浪潮般來襲我小命差點沒續集　還好有時光機我謝謝你人魔開始重出地獄　叛軍如野火般攻擊五官差點離開身體　還好有時光機我謝謝你O.S.喂！我在開演唱會啦！嘴裏有刀　說破歌謠　千年恩怨　一筆勾銷生命潦草　我在彎腰　歷史輪迴　轉身忘掉
